title,top genre,year released,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year
Rumour Has It,british soul,2011.0,120.0,75.0,61.0,-5.0,17.0,57.0,223.0,62.0,4.0,72.0,2012.0
Years,dance pop,2013.0,128.0,82.0,37.0,-6.0,17.0,32.0,195.0,0.0,8.0,53.0,2012.0
Too Close,modern alternative rock,2011.0,126.0,71.0,58.0,-4.0,11.0,29.0,257.0,1.0,4.0,67.0,2012.0
Breezeblocks,indie rock,2012.0,150.0,66.0,62.0,-7.0,21.0,29.0,227.0,10.0,3.0,77.0,2012.0
R U Mine?,garage rock,2012.0,97.0,79.0,52.0,-5.0,70.0,68.0,200.0,5.0,3.0,39.0,2012.0
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,israeli pop,2012.0,119.0,67.0,83.0,-6.0,17.0,53.0,215.0,22.0,6.0,72.0,2012.0
Levels - Radio Edit,dance pop,2011.0,126.0,89.0,58.0,-6.0,31.0,46.0,200.0,5.0,3.0,82.0,2012.0
Silhouettes - Original Radio Edit,dance pop,2012.0,128.0,80.0,61.0,-6.0,12.0,84.0,212.0,16.0,5.0,68.0,2012.0
212,dance pop,2014.0,126.0,77.0,85.0,-6.0,8.0,62.0,205.0,1.0,26.0,73.0,2012.0
So Good,atl hip hop,2012.0,86.0,90.0,66.0,-5.0,22.0,59.0,213.0,4.0,14.0,70.0,2012.0
